id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,34,2938,31,30.135635502636433,3,9.394114961847663,161,51,3,1,F,Real Madrid,24,23.446136973798275,38.313463911414146,11.081679956056178
227,Robert Lewandowski,34,2716,27,29.414338618516922,2,2.4752993676811457,115,18,1,0,F S,Barcelona,24,26.441228091716766,29.242779716849327,6.6593545116484165
1235,Ante Budimir,38,3008,21,20.66943975351751,4,1.8783285655081272,99,16,4,0,F S,Osasuna,13,14.723218826577067,14.999033909291029,1.534797454252839
6531,Alexander Sørloth,35,1525,20,20.454832896590233,2,1.304560586810112,79,13,4,0,F S,Atletico Madrid,19,19.711555287241936,21.53670882433653,2.1480457819998264
770,Ayoze Pérez,30,1987,19,15.228042975068092,2,3.1279250010848045,75,32,4,0,F S,Villarreal,19,15.228042975068092,19.885818392038345,3.7794879944995046
8026,Raphinha,36,2862,18,19.265995418652892,10,13.527044044807553,114,91,4,0,F M S,Barcelona,16,17.779440259560943,39.28257852047682,13.650435471907258
10846,Julián Álvarez,37,2543,17,14.1592972795479,4,6.458727004006505,72,41,5,0,F M S,Atletico Madrid,13,11.186186812352389,25.16218076646328,9.433768885210156
7779,Oihan Sancet,29,1645,15,10.459016836248338,1,1.8577970825135708,50,21,3,0,F M S,Athletic Club,12,8.229184023104608,12.246665179729462,4.23063094355166
5074,Kike García,35,2571,13,10.712679820135236,0,0.7632435280829668,63,13,3,1,F S,Alaves,10,8.482846969738603,9.772033462300897,2.0982022918760777
6933,Javi Puado,35,3023,12,11.94582846853882,4,2.969266129657626,71,22,8,0,F M,Espanyol,7,8.229440444149077,13.288859393447638,3.4392381412908435
1709,Cristhian Stuani,32,998,11,8.713445205241442,2,0.42860953137278557,34,7,4,0,F S,Girona,8,6.48361237719655,5.798142310231924,0.6325159445405006
2543,Borja Iglesias,37,1968,11,11.553197539411485,3,3.1776098990812898,46,18,2,0,F S,Celta Vigo,11,11.553197539411485,16.69970811251551,3.1693250574171543
5706,Dodi Lukebakio,38,3117,11,9.242684002034366,2,5.390696790069342,94,54,3,1,F M S,Sevilla,10,8.499406362883747,14.772395074367523,3.354012044146657
6637,Hugo Duro,31,2180,11,10.968763902783394,2,1.450842097401619,48,13,5,0,F S,Valencia,10,10.225486233830452,10.645109824836254,0.9808358121663332
7008,Vinícius Júnior,30,2267,11,12.775075949728489,8,8.639302698895335,81,58,8,1,F M S,Real Madrid,9,10.545243106782436,23.5002229064703,7.632643768563867
12916,Thierno Barry,35,2322,11,15.059573616832495,4,3.666274566203356,73,24,4,0,F S,Villarreal,10,14.316296067088842,19.066308550536633,4.0202120169997215
2290,Iago Aspas,30,1751,10,8.271357234567404,5,4.823453789576888,52,38,4,1,F M S,Celta Vigo,5,3.8116914834827185,11.48705436103046,5.211289323866367
3264,Mauro Arambarri,35,2670,10,9.48172677308321,0,0.6496659852564335,56,18,10,0,F M S,Getafe,7,7.251893870532513,9.033397678285837,3.0904699601233006
6441,Ferrán Torres,27,1093,10,9.682402739301324,6,3.556156000122428,48,19,1,1,F M S,Barcelona,10,9.682402739301324,14.058789663016796,2.258015837520361
8292,Dani Olmo,25,1221,10,6.638132888823748,4,3.851693106815219,42,27,1,0,M S,Barcelona,8,5.151577670127153,17.126844070851803,9.938899960368872
8778,Fabio Silva,24,1902,10,9.277339147403836,3,2.487750245258212,49,16,7,0,F M S,Las Palmas,8,7.0475062392652035,9.964714661240578,2.4896166315302253
2234,Mikel Oyarzabal,35,2291,9,10.296421762555838,3,2.9014988150447607,43,15,4,1,F M S,Real Sociedad,5,7.323311295360327,14.105824938043952,4.8401750745251775
2255,Isco,22,1565,9,8.83439864218235,8,5.053291022777557,44,61,5,0,M S,Real Betis,4,4.374732851982117,11.564061842858791,5.605048647150397
2537,Sandro Ramírez,31,2086,9,4.299026200547814,3,3.498643457889557,52,28,6,0,F M S,Las Palmas,8,3.555748550221324,7.435247108340263,2.219607894308865
8824,Jude Bellingham,31,2510,9,13.084144294261932,8,4.306040400639176,62,43,5,1,M S,Real Madrid,8,11.597589049488306,24.682247415184975,15.25862560980022
11527,Lamine Yamal,35,2879,9,11.593033526092768,13,14.466477727517486,144,64,3,0,F M S,Barcelona,9,11.593033526092768,38.307874619960785,18.00324920192361
2270,Antoine Griezmann,38,2514,8,8.413829022087157,7,8.116289479658008,50,48,2,0,F M S,Atletico Madrid,7,6.927273713983595,19.78995059709996,9.18062005378306
5199,Raba,29,1925,8,7.210522370878607,6,6.12695131637156,44,46,6,0,F M S,Leganes,4,3.4941343017853796,9.66063447855413,2.529050065204501
5681,Giovani Lo Celso,25,1437,8,4.725559396669269,3,4.672125656157732,34,43,4,0,M S,Real Betis,6,2.495726527646184,9.40762997791171,4.948757715523243
9694,Diego López,38,2839,8,6.927521674893796,5,5.98000256344676,44,37,3,0,D F M S,Valencia,8,6.927521674893796,16.81591833010316,6.181694879196584
7020,Gorka Guruzeta,36,1856,7,6.789272961206734,2,1.4514029724523425,59,15,2,0,F M S,Athletic Club,7,6.789272961206734,9.18936501443386,2.057082111015916
